"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Young people designing their own care. Working together with diabetes HCP to improve transition @NHSCTrust… https://t.co/0MV7ldQmFA",FALSE,0,NA,2019-05-03 20:57:02,TRUE,NA,"1124417604150595589",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarolanneGetty",0,FALSE,FALSE,NA,NA
"2","RT @T1D_MommaBear: The Diabetes Community is so thankful that @senchuckschumer  is such a heartfelt supporter for DSMT(Diabetes self manage…",FALSE,0,NA,2019-05-03 20:54:13,FALSE,NA,"1124416897091547136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sstrumello",4,TRUE,FALSE,NA,NA
"3","RT @PeterNeumann11: ""Targeting of the #diabetes prevention program leads to substantial benefits when capacity is constrained."" @TuftsCEVR'…",FALSE,0,NA,2019-05-03 20:52:09,FALSE,NA,"1124416375940890624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tuftsctsi",2,TRUE,FALSE,NA,NA
"4","Can a gluten free diet lower your risk of Diabetes?
#glutenfree #celiacdisease #diabetes #glutenfreediet… https://t.co/jGoKHWC5o2",FALSE,0,NA,2019-05-03 20:49:48,TRUE,NA,"1124415785592606720",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","UPBlog1982",0,FALSE,FALSE,NA,NA
"5","Alternative in treatment of Diabetes, 

#Holistic #nutrition #stress #Herbs #Poetry #Health #lifestyle #Diabetes
Di… https://t.co/qQA4Lb9q3d",FALSE,0,NA,2019-05-03 20:49:47,TRUE,NA,"1124415781926776832",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","CureNaturally",0,FALSE,FALSE,NA,NA
"6","RT @CakeNutrition: Excited for Diabetes Research Day at @PBRCNews!

Dozens of the best minds in diabetes, obesity &amp; metabolism speaking tod…",FALSE,0,NA,2019-05-03 20:48:40,FALSE,NA,"1124415500958818304",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","circusnole",1,TRUE,FALSE,NA,NA
"7","Listen to this Barboza Method Studio member’s amazing story. It makes me so happy to make an positive impact.… https://t.co/h9nqstRiUS",FALSE,0,NA,2019-05-03 20:47:23,TRUE,NA,"1124415177284247555",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarbozaMethod",0,FALSE,FALSE,NA,NA
"8","RT @FructoseNo: ""We've had more lower limb amputee cases from diabetes in the last four years than we did from returned soldiers after Worl…",FALSE,0,NA,2019-05-03 20:46:10,FALSE,NA,"1124414871662055424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","karinabronska",57,TRUE,FALSE,NA,NA
"9","RT @ConorKerley: Delighted to win #Ireland's Best Young #Entrepreneur, #Louth Section for Best Idea for my novel, #foodsupplements (#nutrac…",FALSE,0,NA,2019-05-03 20:45:56,FALSE,NA,"1124414810320404487",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ibye_ie",0,TRUE,FALSE,NA,NA
"10","RT @ConorKerley: 1/3 Delighted to win #Ireland's Best Young #Entrepreneur, #Louth Section for Best Idea for my novel, #foodsupplements (#nu…",FALSE,0,NA,2019-05-03 20:45:44,FALSE,NA,"1124414760026558464",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","ibye_ie",2,TRUE,FALSE,NA,NA
"11","RT @MTWSNC: Ramadan and diabetes #Ramadan #diabetes  https://t.co/S8bGPzAPIX",FALSE,0,NA,2019-05-03 20:45:40,FALSE,NA,"1124414743064739841",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SSaubir",10,TRUE,FALSE,NA,NA
"12","Nope. #diabetes https://t.co/Pw7Qn3QEq9",FALSE,2,NA,2019-05-03 20:41:16,FALSE,NA,"1124413636489940995",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KateMcMahon__",0,FALSE,FALSE,NA,NA
"13","The Villanueva Lab (@ClaudioVillanu) is looking for a #postdoc! Join a lab working to understand of how type 2… https://t.co/fXZvSwDQb8",FALSE,0,NA,2019-05-03 20:40:13,TRUE,NA,"1124413374543073281",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","UofU3i",0,FALSE,FALSE,NA,NA
"14","#Diabetes, It's only a word not a sentence.",FALSE,0,NA,2019-05-03 20:38:17,FALSE,NA,"1124412885638184963",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","DiabetesBrthru",0,FALSE,FALSE,NA,NA
"15","RT @Telcareltd: We are saying bon voyage to @LisaMsettle as she heads off to China and Borneo #GoodLuck #JDRFUK #Fundraising #Type1 #Diabet…",FALSE,0,NA,2019-05-03 20:37:32,FALSE,NA,"1124412698379411464",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vanillaweb",1,TRUE,FALSE,NA,NA
"16","RT @shanselman: My friends. I'm so excited about this project I could cry. With help from the @NightscoutFound, @TallGamer, and @KONSOLEKIN…",FALSE,0,NA,2019-05-03 20:36:35,FALSE,NA,"1124412460956553216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jamesnaftel",154,TRUE,FALSE,NA,NA
"17","Santiago - thank you for sharing your own connections with #diabetes yesterday during our meeting! We appreciate… https://t.co/ouhtEZYQa4",FALSE,2,NA,2019-05-03 20:36:11,TRUE,NA,"1124412360138084353",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DiabetesPAC",0,FALSE,FALSE,NA,NA
"18","RT @IntDiabetesFed: Better understanding of the needs of children with #diabetes in schools is vital for good management of the condition.…",FALSE,0,NA,2019-05-03 20:34:08,FALSE,NA,"1124411843081060359",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soukad11",2,TRUE,FALSE,NA,NA
"19","RT @T1D_MommaBear: The Diabetes Community is so thankful that @senchuckschumer  is such a heartfelt supporter for DSMT(Diabetes self manage…",FALSE,0,NA,2019-05-03 20:34:03,FALSE,NA,"1124411823694995456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DiabetesPAC",4,TRUE,FALSE,NA,NA
"20","In #diabetes camp one learns about food, insulin and how exercise, illness and excitement can change blood sugar le… https://t.co/T5NPWqjoX8",FALSE,0,NA,2019-05-03 20:33:40,TRUE,NA,"1124411726479482881",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Yerachml",0,FALSE,FALSE,NA,NA
"21","RT @SHFT_diabetes: Please share with teams: free online training for safe use of insulin @WISDOMDiabetes @DraycottPaul @barrydaySHFT @DanBu…",FALSE,0,NA,2019-05-03 20:32:40,FALSE,NA,"1124411474494021632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","therealmags",6,TRUE,FALSE,NA,NA
"22","Thank you, @ChrisVanHollen for meeting with our passionate advocates yesterday. We look forward to continuing the c… https://t.co/GnaSf5yXVF",FALSE,1,NA,2019-05-03 20:31:47,TRUE,NA,"1124411252594364416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DiabetesPAC",0,FALSE,FALSE,NA,NA
"23","RT @CandDKristoffer: Batman and Robin, Laurel and Hardy and now Iqbal and Mahendra! 

Check out this great video discussing diabetes in Ram…",FALSE,0,NA,2019-05-03 20:31:35,FALSE,NA,"1124411201025445890",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CandDGrace",3,TRUE,FALSE,NA,NA
"24","#iGlucose® Cellular-Connected #Diabetes #Management Solution https://t.co/zfjEsx8NoJ #connectedhealth #diabetescare… https://t.co/iLERc24x5F",FALSE,0,NA,2019-05-03 20:30:14,TRUE,NA,"1124410859638358017",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","MedGizmo",0,FALSE,FALSE,NA,NA
"25","#ladiperie is eeeeeeeevil. #diabetes #worthit https://t.co/hGQR93MzII",FALSE,1,NA,2019-05-03 20:27:41,FALSE,NA,"1124410219801600002",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ApriltheLee",0,FALSE,FALSE,NA,NA
"26","RT @BantingHouse: #MayIsMuseumMonth means it's a good time for an announcement from the birthplace of #insulin. Happy to announce new hours…",FALSE,0,NA,2019-05-03 20:24:51,FALSE,NA,"1124409507163951104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BantingHouse",1,TRUE,FALSE,NA,NA
"27","[THERE IS HOPE] RT #diabetes https://t.co/ZguSKB0NNt https://t.co/Ig4V2WVa2g",FALSE,1,NA,2019-05-03 20:24:09,FALSE,NA,"1124409329413689345",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","HolisticMomMD",0,FALSE,FALSE,NA,NA
"28","RT @Telcareltd: We are saying bon voyage to @LisaMsettle as she heads off to China and Borneo #GoodLuck #JDRFUK #Fundraising #Type1 #Diabet…",FALSE,0,NA,2019-05-03 20:18:58,FALSE,NA,"1124408025354260480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LisaMsettle",1,TRUE,FALSE,NA,NA
"29","Modern processed starches, seed oils, fructose corn syrup and sugar are the cause of many of our modern day inflamm… https://t.co/CJQ7ldPg2h",FALSE,0,NA,2019-05-03 20:18:54,TRUE,NA,"1124408010439217152",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","spugh01",0,FALSE,FALSE,"-1.5492","53.7997"
"30","@BarbraStreisand How adorable are they?! I’m a really great#Fur-babies  #artists #animals #animals #diabetes #puppy… https://t.co/bVFujAAH1I",FALSE,0,"BarbraStreisand",2019-05-03 20:18:08,TRUE,"1124354329597698048","1124407815177564160","36169080","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AlanaR11",0,FALSE,FALSE,NA,NA
"31","RT @DanielJDrucker: The #InsulinResistance Syndromes #Diabetes #T2D #Stroke #Heartdisease #CVD #Atherosclerosis: Implications for Insulin S…",FALSE,0,NA,2019-05-03 20:17:49,FALSE,NA,"1124407737209761793",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Aljoharah876",9,TRUE,FALSE,NA,NA
"32","RT @GlookoInc: Awesome and Great? We'll take it! 

#diabetes #T1D #T2D #glooko #T1DCommunity #doc https://t.co/FGsSksizc7",FALSE,0,NA,2019-05-03 20:17:28,FALSE,NA,"1124407650022596609",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","canaanpartners",1,TRUE,FALSE,NA,NA
"33","RT @FructoseNo: ""We've had more lower limb amputee cases from diabetes in the last four years than we did from returned soldiers after Worl…",FALSE,0,NA,2019-05-03 20:16:47,FALSE,NA,"1124407478102429698",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BeFreeOfT2D",57,TRUE,FALSE,NA,NA
"34","Read this awesome blog: ""Walk to Stop Diabetes"" https://t.co/pxY5gFZxos #PWD #Diabetes #Diabetesproblems #dblog #psychotherapy",FALSE,0,NA,2019-05-03 20:13:21,FALSE,NA,"1124406614059028480",NA,"<a href=""https://www.socialoomph.com"" rel=""nofollow"">SocialOomph</a>","DiabeticTalks",0,FALSE,FALSE,NA,NA
"35","Talkin “Sugar” with Dandy will educate patients and the community about diet, exercise, complications associated wi… https://t.co/jQoWnM8pCa",FALSE,0,NA,2019-05-03 20:05:06,TRUE,NA,"1124404536616026112",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","footantioch",0,FALSE,FALSE,NA,NA
"36","RT @NCCAH_CCNSA: Today is National Aboriginal Diabetes Awareness Day – Sharing #NCCAH report - https://t.co/NIm1ULZIZG - #IndigenousHealth…",FALSE,0,NA,2019-05-03 20:04:43,FALSE,NA,"1124404440721760258",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IUHPE",1,TRUE,FALSE,NA,NA
"37","Today is National Aboriginal Diabetes Awareness Day – Sharing #NCCAH report - https://t.co/NIm1ULZIZG -… https://t.co/YnOou80Yo1",FALSE,1,NA,2019-05-03 20:00:54,TRUE,NA,"1124403478380433408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NCCAH_CCNSA",1,FALSE,FALSE,NA,NA
"38","#WCIRDC2019 Program Highlight: Dr. Richard Bergman will be speaking at this year's meeting on ""What's Clear About C… https://t.co/kv5KEAPTWk",FALSE,0,NA,2019-05-03 20:00:40,TRUE,NA,"1124403420750917632",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","WCIRDC",0,FALSE,FALSE,NA,NA
